wof:id,gp:id
554762055,12776774
554764051,12795557
554767025,12763819
554762057,12776775
554764053,12795559
554768053,12766462
554767027,12763824
554764055,12795560
554762059,12776825
554764057,12795564
554772005,12793392
554764063,12795567
554764065,12795572
554767031,12763825
554764067,12795573
554764069,12795574
554722013,12777324
554764071,12795576
554764073,23510122
554764075,12795577
554764079,12795579
554700001,12760749
554764081,12795580
554767033,12763826
554764083,23510123
554764085,12795582
554764087,23510124
554700003,12760750
554767035,12763830
554764089,23510125
554764091,23510126
554706021,12765326
554764093,12795588
554767037,12763834
554764097,12795589
554722015,12777325
554764099,12795591
554745025,12790869
554764101,12795592
554767039,12763841
554764103,12795800
554767041,12763842
554764105,12795801
554764107,12795802
554764109,12795803
554764111,12795811
554764115,12795812
554764117,12795813
554764119,12795822
538968037,12778414
554767043,12763845
554764121,12795823
504785123,24505095
554764123,23510130
554700005,12760751
554764127,12795889
554722017,12777326
554764129,12795894
554772007,12793393
554764133,12795896
554764135,12795899
554700007,12760752
538968039,12778422
504784909,22503875
554770021,12775657
504785125,22503797
504784911,22503765
538968041,12798616
554709013,12767879
554775005,12774752
554774003,12782276
554768057,12766473
554721019,12776660
554768059,12766478
554774005,12782310
554768061,12766482
554774007,12782394
554774009,12782407
554775007,12774758
554774011,12782411
554775009,12774763
554721023,12776662
554770033,12775734
554770039,12775739
554770041,12775755
554775011,12774764
554776001,12789693
554776003,12789694
554721025,12776663
554768063,12766484
554776005,12789695
554699035,12760040
554776007,12789700
554775013,12774765
554776009,12789701
554775015,12774771
554770043,12775757
554721027,12776664
554775017,12774774
554775019,12774777
554768065,12766576
554775023,12774778
554768067,12766577
554775025,12774782
554770045,12775794
554770047,12775803
554775027,12774790
554775029,12774791
554775031,12774793
554721029,12776665
554776013,12789716
554770049,12775806
554768069,12766578
554699037,12760041
554771019,12778456
554763055,12784832
554763057,12784833
554775033,12774799
554776015,12789725
554775035,12774804
554770051,12775824
554775037,12774805
554700009,12760753
554775041,12774806
554775043,12774811
554721031,12776667
554739045,12787308
554775045,12774814
554775047,12774820
554775049,12774823
554769001,12769875
554770055,12775825
554769003,12769876
554700011,12760754
554769005,12769885
504784913,22503759
554769007,12769886
554769013,12769898
